"Story","Title","Result","Date","Stability","Duration (s)"
"Creación de usuario","Crear nuevo usuario con datos incorrectos","PENDING","2021-05-20T18:57:38.482-05:00[America/Bogota]","0.0","0.11"
"Creación de usuario","Crear nuevo usuario de la compañía","ERROR","2021-05-20T19:22:12.75-05:00[America/Bogota]","0.0","3.02"
